,Name,Rank
0,Isaiah Livers,47
1,Sandro Mamukelashvili,49
2,Corey Kispert,35
3,Jericho Sims,46
4,Davion Mitchell,9
5,Luka Garza,30
6,Herbert Jones,48
7,Marcus Zegarowski,44
8,Quentin Grimes,27
9,Trey Murphy III,33
10,Jason Preston,29
11,Raiquan Gray,39
12,Charles Bassey,22
13,Dalano Banton,38
14,Jared Butler,16
15,Kessler Edwards,32
16,Ayo Dosunmu,14
17,Aaron Wiggins,36
18,Joe Wieskamp,23
19,Neemias Queta,20
20,James Bouknight,31
21,Franz Wagner,41
22,David Johnson,40
23,Nah'Shon Hyland,28
24,Chris Duarte,26
25,Tre Mann,37
26,Scottie Lewis,25
27,Santi Aldama,21
28,Miles McBride,19
29,Jeremiah Robinson-Earl,18
30,Kai Jones,11
31,Cade Cunningham,4
32,Scottie Barnes,24
33,Joshua Primo,15
34,Josh Christopher,8
35,Sharife Cooper,45
36,Ziaire Williams,13
37,Jalen Suggs,2
38,Evan Mobley,3
39,Moses Moody,17
40,JT Thor,10
41,Jalen Johnson,12
42,Jaden Springer,7
43,Cameron Thomas,6
44,Day'Ron Sharpe,5
45,Isaiah Jackson,43
46,Greg Brown III,34
47,Keon Johnson,42
48,Brandon Boston Jr.,1
